grid_n_per_dim,n_cells,HPPP_BT_LogLik,Constant_BT_LogLik,Linear_BT_LogLik,Linear_AIC,Linear_BIC,LR_Linear_vs_HPPP,LR_p_value,beta_x,beta_y,beta_canopy_median,beta_nc_usgs30m_match_tcc,beta_distance_to_waterbody_m,beta_distance_to_coastline_m,beta_sin_doy,beta_cos_doy,beta_0
50,2500,-22466.425189579146,-22466.42578125,-21881.123046875,43780.24609375,43822.68454422701,1170.6042854082916,2.1514247757625116e-247,-0.7463383,0.27511293,-0.054789655,0.2895185,-0.039869934,-0.102044344,-0.250655,-1.2828332,-26.24026870727539
75,5625,-22466.425189579146,-22466.423828125,-21881.88671875,43781.7734375,43824.21188797701,1169.0769416582916,4.5992446872571285e-247,-0.81836224,0.26633543,-0.1156249,0.21045801,0.005543576,-0.10546015,-0.25065535,-1.2828331,-26.240365982055664
100,10000,-22466.425189579146,-22466.423828125,-21890.59765625,43799.1953125,43841.63376297701,1151.6550666582916,2.668519393241774e-243,-0.76195157,0.2651737,0.018281711,0.18130957,-0.0023599928,-0.082879245,-0.25065535,-1.2828332,-26.251935958862305
150,22500,-22466.425189579146,-22466.419921875,-21882.271484375,43782.54296875,43824.98141922701,1168.3074104082916,6.744219297779339e-247,-0.85796165,0.2740205,-0.13885804,0.18751135,-0.0012560606,-0.11413052,-0.25065607,-1.2828325,-26.240501403808594
200,40000,-22466.425189579146,-22466.427734375,-21889.921875,43797.84375,43840.28220047701,1153.0066291582916,1.362409877596791e-243,-0.821693,0.2702464,-0.06460475,0.18010716,-0.0011517792,-0.10512518,-0.25065556,-1.2828323,-26.242982864379883
