Model,k,BT_LogLik,AIC,BIC
HPPP,1,-22466.425189579146,44934.85037915829,44939.565762544626
Constant NN,1,-22466.423828125,44934.84765625,44939.563039636334
Linear IPPP,9,-21890.58203125,43799.1640625,43841.60251297701
Nonlinear IPPP,161,-21102.47265625,42526.9453125,43286.12203769988
