simulation,total_count,observed_total,expected_total,model
145,822,825,866.2913553411099,Linear IPPP
146,874,825,866.2913553411099,Linear IPPP
147,840,825,866.2913553411099,Linear IPPP
148,899,825,866.2913553411099,Linear IPPP
149,867,825,866.2913553411099,Linear IPPP
150,913,825,866.2913553411099,Linear IPPP
151,912,825,866.2913553411099,Linear IPPP
152,818,825,866.2913553411099,Linear IPPP
153,825,825,866.2913553411099,Linear IPPP
154,878,825,866.2913553411099,Linear IPPP
155,866,825,866.2913553411099,Linear IPPP
156,857,825,866.2913553411099,Linear IPPP
157,849,825,866.2913553411099,Linear IPPP
158,832,825,866.2913553411099,Linear IPPP
159,886,825,866.2913553411099,Linear IPPP
160,818,825,866.2913553411099,Linear IPPP
161,878,825,866.2913553411099,Linear IPPP
162,881,825,866.2913553411099,Linear IPPP
163,834,825,866.2913553411099,Linear IPPP
164,839,825,866.2913553411099,Linear IPPP
165,843,825,866.2913553411099,Linear IPPP
166,824,825,866.2913553411099,Linear IPPP
167,885,825,866.2913553411099,Linear IPPP
168,878,825,866.2913553411099,Linear IPPP
169,878,825,866.2913553411099,Linear IPPP
170,855,825,866.2913553411099,Linear IPPP
171,856,825,866.2913553411099,Linear IPPP
172,877,825,866.2913553411099,Linear IPPP
173,900,825,866.2913553411099,Linear IPPP
174,808,825,866.2913553411099,Linear IPPP
175,918,825,866.2913553411099,Linear IPPP
176,892,825,866.2913553411099,Linear IPPP
177,914,825,866.2913553411099,Linear IPPP
178,912,825,866.2913553411099,Linear IPPP
179,860,825,866.2913553411099,Linear IPPP
180,886,825,866.2913553411099,Linear IPPP
181,871,825,866.2913553411099,Linear IPPP
182,893,825,866.2913553411099,Linear IPPP
183,853,825,866.2913553411099,Linear IPPP
184,834,825,866.2913553411099,Linear IPPP
185,868,825,866.2913553411099,Linear IPPP
186,906,825,866.2913553411099,Linear IPPP
187,894,825,866.2913553411099,Linear IPPP
188,880,825,866.2913553411099,Linear IPPP
189,856,825,866.2913553411099,Linear IPPP
190,800,825,866.2913553411099,Linear IPPP
191,906,825,866.2913553411099,Linear IPPP
192,903,825,866.2913553411099,Linear IPPP
193,844,825,866.2913553411099,Linear IPPP
194,906,825,866.2913553411099,Linear IPPP
195,850,825,866.2913553411099,Linear IPPP
196,871,825,866.2913553411099,Linear IPPP
197,844,825,866.2913553411099,Linear IPPP
198,861,825,866.2913553411099,Linear IPPP
199,850,825,866.2913553411099,Linear IPPP
200,901,825,866.2913553411099,Linear IPPP
201,839,825,866.2913553411099,Linear IPPP
202,873,825,866.2913553411099,Linear IPPP
203,846,825,866.2913553411099,Linear IPPP
204,847,825,866.2913553411099,Linear IPPP
205,855,825,866.2913553411099,Linear IPPP
206,864,825,866.2913553411099,Linear IPPP
207,867,825,866.2913553411099,Linear IPPP
208,832,825,866.2913553411099,Linear IPPP
209,826,825,866.2913553411099,Linear IPPP
210,871,825,866.2913553411099,Linear IPPP
211,813,825,866.2913553411099,Linear IPPP
212,909,825,866.2913553411099,Linear IPPP
213,861,825,866.2913553411099,Linear IPPP
214,880,825,866.2913553411099,Linear IPPP
215,905,825,866.2913553411099,Linear IPPP
216,893,825,866.2913553411099,Linear IPPP
217,816,825,866.2913553411099,Linear IPPP
218,913,825,866.2913553411099,Linear IPPP
219,874,825,866.2913553411099,Linear IPPP
220,858,825,866.2913553411099,Linear IPPP
221,858,825,866.2913553411099,Linear IPPP
222,885,825,866.2913553411099,Linear IPPP
223,839,825,866.2913553411099,Linear IPPP
224,871,825,866.2913553411099,Linear IPPP
225,844,825,866.2913553411099,Linear IPPP
226,842,825,866.2913553411099,Linear IPPP
227,860,825,866.2913553411099,Linear IPPP
228,852,825,866.2913553411099,Linear IPPP
229,887,825,866.2913553411099,Linear IPPP
230,880,825,866.2913553411099,Linear IPPP
231,849,825,866.2913553411099,Linear IPPP
232,895,825,866.2913553411099,Linear IPPP
233,856,825,866.2913553411099,Linear IPPP
234,828,825,866.2913553411099,Linear IPPP
235,862,825,866.2913553411099,Linear IPPP
236,908,825,866.2913553411099,Linear IPPP
237,852,825,866.2913553411099,Linear IPPP
238,811,825,866.2913553411099,Linear IPPP
239,828,825,866.2913553411099,Linear IPPP
240,887,825,866.2913553411099,Linear IPPP
241,840,825,866.2913553411099,Linear IPPP
242,878,825,866.2913553411099,Linear IPPP
243,851,825,866.2913553411099,Linear IPPP
244,870,825,866.2913553411099,Linear IPPP
245,881,825,866.2913553411099,Linear IPPP
246,853,825,866.2913553411099,Linear IPPP
247,876,825,866.2913553411099,Linear IPPP
248,867,825,866.2913553411099,Linear IPPP
249,873,825,866.2913553411099,Linear IPPP
250,849,825,866.2913553411099,Linear IPPP
251,881,825,866.2913553411099,Linear IPPP
252,856,825,866.2913553411099,Linear IPPP
253,904,825,866.2913553411099,Linear IPPP
254,896,825,866.2913553411099,Linear IPPP
