fold,test_observations,test_area,train_observations,train_area,HPPP_heldout_loglik,Constant_heldout_loglik,Linear_heldout_loglik
0,59,8000.0,525.0,32000.0,-373.74548223222416,-373.7454528808594,-361.6802215576172
1,89,8000.0,495.0,32000.0,-494.78507430997246,-494.78507232666016,-489.6904067993164
2,134,8000.0,450.0,32000.0,-683.9086422683448,-683.9086380004883,-687.0111541748047
3,186,8000.0,398.0,32000.0,-915.4892868285212,-915.4893264770508,-906.4778900146484
4,116,8000.0,468.0,32000.0,-607.1026547602492,-607.1026153564453,-657.3829345703125
