fold,test_observations,test_area,train_observations,train_area,HPPP_heldout_loglik,Constant_heldout_loglik,Linear_heldout_loglik,Nonlinear_heldout_loglik
0,29,8530108208.2003765,796.0,130859321788.0841,-600.5034195105358,-600.5044250488281,-570.0003051757812,-564.3074417114258
1,272,36658846632.60954,553.0,102730583363.67496,-5376.219839267,-5376.22119140625,-5263.677886962891,-5168.9273681640625
2,211,42759034801.98901,614.0,96630395194.29549,-4254.1441965153,-4254.145324707031,-4180.2325439453125,-4284.1270751953125
3,304,38316184019.77257,521.0,101073245976.51193,-5998.849398717096,-5998.84342956543,-6029.120254516602,-6176.454574584961
4,9,13125256333.712997,816.0,126264173662.57149,-254.53886735679944,-254.53457641601562,-265.05604553222656,-226.74547576904297
