grid_n_per_dim,n_cells,HPPP_BT_LogLik,Constant_BT_LogLik,Linear_BT_LogLik,Linear_AIC,Linear_BIC,LR_Linear_vs_HPPP,LR_p_value,beta_x,beta_y,beta_canopy_median,beta_nc_usgs30m_match_tcc,beta_distance_to_waterbody_m,beta_distance_to_coastline_m,beta_sin_doy,beta_cos_doy,beta_0
50,2500,-16454.752149884815,-16454.75390625,-16135.8935546875,32285.787109375,32318.79479307934,637.7171903946291,1.6996593927594463e-134,-1.0897522,0.3251272,-0.060851727,0.31216693,-0.037924528,-0.42455056,,,-18.563547134399414
75,5625,-16454.752149884815,-16454.751953125,-16136.5986328125,32287.197265625,32320.20494932934,636.3070341446291,3.4249692353847303e-134,-1.1888812,0.32082713,-0.12159908,0.22841941,0.008836894,-0.44878247,,,-18.56401824951172
100,10000,-16454.752149884815,-16454.751953125,-16145.501953125,32305.00390625,32338.01158995434,618.5003935196291,2.380919254296584e-130,-1.0832775,0.31220165,0.014535391,0.19666263,0.00024720182,-0.38045844,,,-18.575199127197266
150,22500,-16454.752149884815,-16454.75,-16136.8935546875,32287.787109375,32320.79479307934,635.7171903946291,4.591309959014835e-134,-1.2520943,0.33221573,-0.1452641,0.20579831,0.001961209,-0.47815722,,,-18.56414222717285
200,40000,-16454.752149884815,-16454.75390625,-16144.640625,32303.28125,32336.28893370434,620.2230497696291,1.0117720040368744e-130,-1.1946645,0.32502484,-0.069540486,0.1965663,0.0019664532,-0.44937417,,,-18.566373825073242
