Model,k,BT_LogLik,AIC,BIC
HPPP,1,-16454.752149884815,32911.50429976963,32916.21968315596
Constant NN,1,-16454.751953125,32911.50390625,32916.219289636334
Linear IPPP,7,-16145.501953125,32305.00390625,32338.01158995434
Nonlinear IPPP,129,-15516.623046875,31291.24609375,31899.530550587173
