fold,test_observations,test_area,train_observations,train_area,HPPP_heldout_loglik,Constant_heldout_loglik,Linear_heldout_loglik,Nonlinear_heldout_loglik
0,29,12462488092180.75,796.0,191185469132390.88,-811.822835451306,-811.8220291137695,-768.7761192321777,-764.8742828369141
1,272,53558574930242.55,553.0,150089382294329.1,-7358.25022326319,-7358.251953125,-7153.3941650390625,-7166.570358276367
2,211,62470949845705.95,614.0,141177007378865.72,-5791.675119394698,-5791.673858642578,-5629.733642578125,-5776.5721435546875
3,304,55979944852887.734,521.0,147668012371683.94,-8214.059827889309,-8214.058349609375,-8121.838729858398,-8194.887725830078
4,9,19175999503554.688,816.0,184471957721016.94,-320.12075506255576,-320.1115188598633,-295.3347473144531,-280.12084197998047
