model,temporal_bin,phase_start,phase_end,phase_center,day_start,day_end,day_center,observed_count,expected_count,raw_residual,mean_pearson_residual,pearson_residual_sd
Linear IPPP,1,0.0,0.08333333333333333,0.041666666666666664,1,30,16,1.0,12.630902290344238,-11.630903244018555,-0.039778221398591995,0.29774075746536255
Linear IPPP,2,0.08333333333333333,0.16666666666666666,0.125,31,60,47,0.0,15.736587524414062,-15.736587524414062,-0.04894197732210159,0.023615505546331406
Linear IPPP,3,0.16666666666666666,0.25,0.20833333333333331,61,91,77,6.0,26.222665786743164,-20.222665786743164,-0.04514728859066963,0.6187928318977356
Linear IPPP,4,0.25,0.3333333333333333,0.29166666666666663,92,121,108,117.0,50.96961212158203,66.03038787841797,0.12191437184810638,1.9214009046554565
Linear IPPP,5,0.3333333333333333,0.4166666666666667,0.375,122,152,138,124.0,96.710693359375,27.2893123626709,0.031014472246170044,1.238481044769287
Linear IPPP,6,0.4166666666666667,0.5,0.45833333333333337,153,182,168,120.0,150.88038635253906,-30.88039207458496,-0.037461601197719574,1.0592931509017944
Linear IPPP,7,0.5,0.5833333333333334,0.5416666666666667,183,213,199,121.0,171.8025665283203,-50.80255889892578,-0.05800936743617058,1.0090043544769287
Linear IPPP,8,0.5833333333333334,0.6666666666666666,0.625,214,243,229,122.0,137.89657592773438,-15.896574020385742,-0.02039826102554798,1.2666503190994263
Linear IPPP,9,0.6666666666666666,0.75,0.7083333333333333,244,273,260,121.0,82.75365447998047,38.24634552001953,0.031972553580999374,1.5052839517593384
Linear IPPP,10,0.75,0.8333333333333334,0.7916666666666667,274,304,290,92.0,42.57481002807617,49.42518997192383,0.10138615220785141,1.8796484470367432
Linear IPPP,11,0.8333333333333334,0.9166666666666666,0.875,305,334,321,1.0,22.43828010559082,-21.43828010559082,-0.055959537625312805,0.18311208486557007
Linear IPPP,12,0.9166666666666666,1.0,0.9583333333333333,335,365,351,0.0,14.38239574432373,-14.38239574432373,-0.04678879678249359,0.022576550021767616
Nonlinear IPPP,1,0.0,0.08333333333333333,0.041666666666666664,1,30,16,1.0,4.614029884338379,-3.614029884338379,-0.022318700328469276,0.18261878192424774
Nonlinear IPPP,2,0.08333333333333333,0.16666666666666666,0.125,31,60,47,0.0,5.919929504394531,-5.919929504394531,-0.028006162494421005,0.018070533871650696
Nonlinear IPPP,3,0.16666666666666666,0.25,0.20833333333333331,61,91,77,6.0,11.505961418151855,-5.505961894989014,-0.013324101455509663,0.937171459197998
Nonlinear IPPP,4,0.25,0.3333333333333333,0.29166666666666663,92,121,108,117.0,72.39064025878906,44.60935974121094,0.04505046457052231,1.2487484216690063
Nonlinear IPPP,5,0.3333333333333333,0.4166666666666667,0.375,122,152,138,124.0,99.06741333007812,24.93258285522461,0.013460973277688026,1.0341238975524902
Nonlinear IPPP,6,0.4166666666666667,0.5,0.45833333333333337,153,182,168,120.0,103.83325958251953,16.166732788085938,-0.0027460192795842886,0.9755093455314636
Nonlinear IPPP,7,0.5,0.5833333333333334,0.5416666666666667,183,213,199,121.0,98.67599487304688,22.324003219604492,-0.004709747154265642,0.9682713747024536
Nonlinear IPPP,8,0.5833333333333334,0.6666666666666666,0.625,214,243,229,122.0,103.52483367919922,18.475162506103516,0.0008994503295980394,1.1641602516174316
Nonlinear IPPP,9,0.6666666666666666,0.75,0.7083333333333333,244,273,260,121.0,96.19962310791016,24.80038070678711,0.0015500083100050688,1.0246341228485107
Nonlinear IPPP,10,0.75,0.8333333333333334,0.7916666666666667,274,304,290,92.0,57.743324279785156,34.256675720214844,0.03227002173662186,1.1926229000091553
Nonlinear IPPP,11,0.8333333333333334,0.9166666666666666,0.875,305,334,321,1.0,7.784246444702148,-6.784246444702148,-0.029312459751963615,0.2496115118265152
Nonlinear IPPP,12,0.9166666666666666,1.0,0.9583333333333333,335,365,351,0.0,4.4137420654296875,-4.4137420654296875,-0.024299394339323044,0.015420408919453621
