simulation,total_count,observed_total,expected_total,model
128,644,825,665.6730111888704,Nonlinear IPPP
129,705,825,665.6730111888704,Nonlinear IPPP
130,686,825,665.6730111888704,Nonlinear IPPP
131,672,825,665.6730111888704,Nonlinear IPPP
132,665,825,665.6730111888704,Nonlinear IPPP
133,696,825,665.6730111888704,Nonlinear IPPP
134,680,825,665.6730111888704,Nonlinear IPPP
135,656,825,665.6730111888704,Nonlinear IPPP
136,672,825,665.6730111888704,Nonlinear IPPP
137,646,825,665.6730111888704,Nonlinear IPPP
138,674,825,665.6730111888704,Nonlinear IPPP
139,633,825,665.6730111888704,Nonlinear IPPP
140,695,825,665.6730111888704,Nonlinear IPPP
141,681,825,665.6730111888704,Nonlinear IPPP
142,685,825,665.6730111888704,Nonlinear IPPP
143,673,825,665.6730111888704,Nonlinear IPPP
144,692,825,665.6730111888704,Nonlinear IPPP
145,668,825,665.6730111888704,Nonlinear IPPP
146,649,825,665.6730111888704,Nonlinear IPPP
147,685,825,665.6730111888704,Nonlinear IPPP
148,685,825,665.6730111888704,Nonlinear IPPP
149,658,825,665.6730111888704,Nonlinear IPPP
150,665,825,665.6730111888704,Nonlinear IPPP
151,683,825,665.6730111888704,Nonlinear IPPP
152,612,825,665.6730111888704,Nonlinear IPPP
153,634,825,665.6730111888704,Nonlinear IPPP
154,701,825,665.6730111888704,Nonlinear IPPP
155,695,825,665.6730111888704,Nonlinear IPPP
156,652,825,665.6730111888704,Nonlinear IPPP
157,689,825,665.6730111888704,Nonlinear IPPP
158,683,825,665.6730111888704,Nonlinear IPPP
159,703,825,665.6730111888704,Nonlinear IPPP
160,665,825,665.6730111888704,Nonlinear IPPP
161,670,825,665.6730111888704,Nonlinear IPPP
162,655,825,665.6730111888704,Nonlinear IPPP
163,626,825,665.6730111888704,Nonlinear IPPP
164,654,825,665.6730111888704,Nonlinear IPPP
165,668,825,665.6730111888704,Nonlinear IPPP
166,613,825,665.6730111888704,Nonlinear IPPP
167,687,825,665.6730111888704,Nonlinear IPPP
168,640,825,665.6730111888704,Nonlinear IPPP
169,630,825,665.6730111888704,Nonlinear IPPP
170,706,825,665.6730111888704,Nonlinear IPPP
171,661,825,665.6730111888704,Nonlinear IPPP
172,680,825,665.6730111888704,Nonlinear IPPP
173,695,825,665.6730111888704,Nonlinear IPPP
174,660,825,665.6730111888704,Nonlinear IPPP
175,638,825,665.6730111888704,Nonlinear IPPP
176,694,825,665.6730111888704,Nonlinear IPPP
177,645,825,665.6730111888704,Nonlinear IPPP
178,664,825,665.6730111888704,Nonlinear IPPP
179,681,825,665.6730111888704,Nonlinear IPPP
