Model,k,BT_LogLik,AIC,BIC
HPPP,1,-22466.425189579146,44934.85037915829,44939.565762544626
Constant NN,1,-22466.423828125,44934.84765625,44939.563039636334
Linear IPPP,9,-21890.171875,43798.34375,43840.78220047701
Nonlinear IPPP,161,-21097.43359375,42516.8671875,43276.04391269988
