grid_n_per_dim,n_cells,HPPP_BT_LogLik,Constant_BT_LogLik,Linear_BT_LogLik,Linear_AIC,Linear_BIC,LR_Linear_vs_HPPP,LR_p_value,beta_x,beta_y,beta_canopy_median,beta_nc_usgs30m_match_tcc,beta_distance_to_waterbody_m,beta_distance_to_coastline_m,beta_sin_doy,beta_cos_doy,beta_0
50,2500,-22466.425189579146,-22466.42578125,-21880.45703125,43778.9140625,43821.35251297701,1171.9363166582916,1.1090686502446802e-247,-1.089732,0.32512426,-0.060851615,0.31216666,-0.037924558,-0.4245326,-0.25086707,-1.2839187,-26.239652633666992
75,5625,-22466.425189579146,-22466.423828125,-21881.166015625,43780.33203125,43822.77048172701,1170.5183479082916,2.2453899183316364e-247,-1.1888509,0.320823,-0.12159882,0.2284193,0.008836406,-0.44875535,-0.2508681,-1.2839189,-26.240123748779297
100,10000,-22466.425189579146,-22466.423828125,-21890.06640625,43798.1328125,43840.57126297701,1152.7175666582916,1.5730799569513653e-243,-1.083259,0.3121992,0.014535597,0.19666268,0.00024705264,-0.38044178,-0.2508674,-1.283919,-26.251304626464844
150,22500,-22466.425189579146,-22466.419921875,-21881.458984375,43780.91796875,43823.35641922701,1169.9324104082916,3.0052128462474955e-247,-1.2520655,0.33221176,-0.14526391,0.2057977,0.0019607493,-0.478131,-0.25086772,-1.2839195,-26.240249633789062
200,40000,-22466.425189579146,-22466.427734375,-21889.205078125,43796.41015625,43838.84860672701,1154.4402229082916,6.677639694453165e-244,-1.194591,0.32501423,-0.06953996,0.19656551,0.0019653132,-0.44930795,-0.25086617,-1.2839181,-26.242477416992188
