simulation,total_count,observed_total,expected_total,model
145,825,825,825.0013478077512,Linear IPPP
146,859,825,825.0013478077512,Linear IPPP
147,821,825,825.0013478077512,Linear IPPP
148,775,825,825.0013478077512,Linear IPPP
149,884,825,825.0013478077512,Linear IPPP
150,858,825,825.0013478077512,Linear IPPP
151,834,825,825.0013478077512,Linear IPPP
152,796,825,825.0013478077512,Linear IPPP
153,805,825,825.0013478077512,Linear IPPP
154,823,825,825.0013478077512,Linear IPPP
155,860,825,825.0013478077512,Linear IPPP
156,826,825,825.0013478077512,Linear IPPP
157,800,825,825.0013478077512,Linear IPPP
158,836,825,825.0013478077512,Linear IPPP
159,851,825,825.0013478077512,Linear IPPP
160,798,825,825.0013478077512,Linear IPPP
161,856,825,825.0013478077512,Linear IPPP
162,862,825,825.0013478077512,Linear IPPP
163,832,825,825.0013478077512,Linear IPPP
164,858,825,825.0013478077512,Linear IPPP
165,789,825,825.0013478077512,Linear IPPP
166,818,825,825.0013478077512,Linear IPPP
167,823,825,825.0013478077512,Linear IPPP
168,849,825,825.0013478077512,Linear IPPP
169,814,825,825.0013478077512,Linear IPPP
170,811,825,825.0013478077512,Linear IPPP
171,814,825,825.0013478077512,Linear IPPP
172,848,825,825.0013478077512,Linear IPPP
173,825,825,825.0013478077512,Linear IPPP
174,828,825,825.0013478077512,Linear IPPP
175,872,825,825.0013478077512,Linear IPPP
176,812,825,825.0013478077512,Linear IPPP
177,854,825,825.0013478077512,Linear IPPP
178,791,825,825.0013478077512,Linear IPPP
179,851,825,825.0013478077512,Linear IPPP
180,823,825,825.0013478077512,Linear IPPP
181,767,825,825.0013478077512,Linear IPPP
182,779,825,825.0013478077512,Linear IPPP
183,872,825,825.0013478077512,Linear IPPP
184,762,825,825.0013478077512,Linear IPPP
185,862,825,825.0013478077512,Linear IPPP
186,809,825,825.0013478077512,Linear IPPP
187,806,825,825.0013478077512,Linear IPPP
188,807,825,825.0013478077512,Linear IPPP
189,822,825,825.0013478077512,Linear IPPP
190,848,825,825.0013478077512,Linear IPPP
191,837,825,825.0013478077512,Linear IPPP
192,818,825,825.0013478077512,Linear IPPP
193,898,825,825.0013478077512,Linear IPPP
194,803,825,825.0013478077512,Linear IPPP
195,825,825,825.0013478077512,Linear IPPP
196,867,825,825.0013478077512,Linear IPPP
197,790,825,825.0013478077512,Linear IPPP
198,823,825,825.0013478077512,Linear IPPP
199,809,825,825.0013478077512,Linear IPPP
200,818,825,825.0013478077512,Linear IPPP
201,848,825,825.0013478077512,Linear IPPP
202,862,825,825.0013478077512,Linear IPPP
203,806,825,825.0013478077512,Linear IPPP
204,821,825,825.0013478077512,Linear IPPP
205,853,825,825.0013478077512,Linear IPPP
206,813,825,825.0013478077512,Linear IPPP
207,825,825,825.0013478077512,Linear IPPP
208,822,825,825.0013478077512,Linear IPPP
209,812,825,825.0013478077512,Linear IPPP
210,837,825,825.0013478077512,Linear IPPP
211,805,825,825.0013478077512,Linear IPPP
212,842,825,825.0013478077512,Linear IPPP
213,853,825,825.0013478077512,Linear IPPP
214,817,825,825.0013478077512,Linear IPPP
215,866,825,825.0013478077512,Linear IPPP
216,795,825,825.0013478077512,Linear IPPP
217,823,825,825.0013478077512,Linear IPPP
218,771,825,825.0013478077512,Linear IPPP
219,832,825,825.0013478077512,Linear IPPP
220,801,825,825.0013478077512,Linear IPPP
